"","participant_id","ID","trial","Treatment","Beh","SI_PN","PN_1","PN_2","IB_1","IB_2","PN_moves","IB_moves","Treatment_GN","subCloseness","order","cohort","cohort_rec","domain"
"1",1,"1",1,"Prosocial","vegetarian",11,9,8,3,7,-1,4,2,3,2,"younger","1","1"
"2",1,"1",4,"Antisocial","distance",8,10,4,7,3,-6,-4,-2,3,2,"younger","1","0"
"3",1,"1",6,"Prosocial","speed",11,9,11,6,7,2,1,2,3,2,"younger","1","1"
"4",1,"1",7,"Prosocial","bike",10,8,5,2,5,-3,3,2,3,2,"younger","1","1"
"5",1,"1",8,"Antisocial","heating",4,6,7,3,3,1,0,-2,3,2,"younger","1","0"
"6",1,"1",10,"Antisocial","lights",6,8,8,5,5,0,0,-2,3,2,"younger","1","0"
"7",1,"1",11,"Prosocial","seatBus",8,6,9,3,5,3,2,2,3,2,"younger","1","1"
"8",1,"1",12,"Antisocial","chargers",4,6,7,5,4,1,-1,-2,3,2,"younger","1","0"
"9",2,"2",2,"Antisocial","coughelbow",2,4,3,6,5,-1,-1,-2,5,2,"younger","1","0"
"10",2,"2",3,"Antisocial","chargers",4,6,5,7,7,-1,0,-2,5,2,"younger","1","0"
"11",2,"2",9,"Antisocial","lights",6,8,6,6,7,-2,1,-2,5,2,"younger","1","0"
"12",2,"2",10,"Antisocial","distance",9,11,11,3,7,0,4,-2,5,2,"younger","1","0"
"13",2,"2",11,"Prosocial","screentime",8,6,6,3,4,0,1,2,5,2,"younger","1","1"
"14",3,"3",1,"Prosocial","bike",10,8,11,2,4,3,2,2,3,1,"younger","1","1"
"15",3,"3",3,"Antisocial","meat",8,10,10,7,7,0,0,-2,3,1,"younger","1","0"
"16",3,"3",4,"Prosocial","speed",8,6,9,4,5,3,1,2,3,1,"younger","1","1"
"17",3,"3",5,"Prosocial","vegetarian",8,6,6,1,2,0,1,2,3,1,"younger","1","1"
"18",3,"3",9,"Antisocial","lights",4,6,7,5,5,1,0,-2,3,1,"younger","1","0"
"19",3,"3",10,"Antisocial","download",5,7,8,5,5,1,0,-2,3,1,"younger","1","0"
"20",3,"3",11,"Antisocial","distance",1,3,1,5,2,-2,-3,-2,3,1,"younger","1","0"
"21",3,"3",12,"Prosocial","homeless",11,9,9,3,4,0,1,2,3,1,"younger","1","1"
"22",4,"4",2,"Antisocial","parking",3,5,3,5,2,-2,-3,-2,5,1,"younger","1","0"
"23",4,"4",3,"Antisocial","late",2,4,3,4,2,-1,-2,-2,5,1,"younger","1","0"
"24",4,"4",4,"Antisocial","shower",4,6,6,4,3,0,-1,-2,5,1,"younger","1","0"
"25",4,"4",6,"Antisocial","lights",4,6,4,4,3,-2,-1,-2,5,1,"younger","1","0"
"26",4,"4",7,"Prosocial","volunteer",9,7,8,4,5,1,1,2,5,1,"younger","1","1"
"27",4,"4",10,"Prosocial","lendMoney",9,7,9,4,5,2,1,2,5,1,"younger","1","1"
"28",4,"4",11,"Prosocial","sustainable",8,6,8,4,5,2,1,2,5,1,"younger","1","1"
"29",4,"4",12,"Prosocial","vegetarian",8,6,7,2,4,1,2,2,5,1,"younger","1","1"
"30",5,"5",1,"Antisocial","lights",1,3,1,2,1,-2,-1,-2,4,2,"younger","1","0"
"31",5,"5",2,"Prosocial","bike",6,4,2,1,2,-2,1,2,4,2,"younger","1","1"
"32",5,"5",4,"Prosocial","crossroad",8,6,6,4,4,0,0,2,4,2,"younger","1","1"
"33",5,"5",5,"Antisocial","download",4,6,6,4,4,0,0,-2,4,2,"younger","1","0"
"34",5,"5",6,"Prosocial","sustainable",8,6,8,4,6,2,2,2,4,2,"younger","1","1"
"35",5,"5",8,"Antisocial","shower",4,6,6,4,4,0,0,-2,4,2,"younger","1","0"
"36",5,"5",9,"Antisocial","chargers",8,10,9,7,7,-1,0,-2,4,2,"younger","1","0"
"37",5,"5",11,"Prosocial","volunteer",7,5,6,2,4,1,2,2,4,2,"younger","1","1"
"38",6,"6",1,"Antisocial","late",2,4,1,2,2,-3,0,-2,5,2,"younger","1","0"
"39",6,"6",2,"Antisocial","heating",2,4,2,2,4,-2,2,-2,5,2,"younger","1","0"
"40",6,"6",3,"Prosocial","sustainable",10,8,11,3,5,3,2,2,5,2,"younger","1","1"
"41",6,"6",4,"Prosocial","seatBus",6,4,9,4,3,5,-1,2,5,2,"younger","1","1"
"42",6,"6",6,"Prosocial","washands",11,9,10,5,5,1,0,2,5,2,"younger","1","1"
"43",6,"6",7,"Prosocial","bike",11,9,10,2,3,1,1,2,5,2,"younger","1","1"
"44",6,"6",9,"Antisocial","shower",2,4,2,2,2,-2,0,-2,5,2,"younger","1","0"
"45",6,"6",10,"Antisocial","chargers",7,9,5,6,7,-4,1,-2,5,2,"younger","1","0"
"46",7,"7",1,"Antisocial","parking",1,3,2,2,2,-1,0,-2,5,1,"younger","1","0"
"47",7,"7",4,"Antisocial","chargers",5,7,7,6,7,0,1,-2,5,1,"younger","1","0"
"48",7,"7",5,"Prosocial","vegetarian",11,9,9,2,3,0,1,2,5,1,"younger","1","1"
"49",7,"7",6,"Antisocial","lights",6,8,4,5,6,-4,1,-2,5,1,"younger","1","0"
"50",7,"7",8,"Prosocial","screentime",10,8,10,5,7,2,2,2,5,1,"younger","1","1"
"51",7,"7",10,"Prosocial","bike",11,9,10,2,2,1,0,2,5,1,"younger","1","1"
"52",7,"7",11,"Prosocial","volunteer",11,9,9,3,7,0,4,2,5,1,"younger","1","1"
"53",7,"7",12,"Antisocial","download",6,8,8,6,6,0,0,-2,5,1,"younger","1","0"
"54",8,"8",2,"Prosocial","speed",9,7,8,5,5,1,0,2,3,2,"younger","1","1"
"55",8,"8",3,"Antisocial","download",1,3,1,2,1,-2,-1,-2,3,2,"younger","1","0"
"56",8,"8",4,"Prosocial","bike",9,7,8,3,5,1,2,2,3,2,"younger","1","1"
"57",8,"8",5,"Antisocial","noisedisturbance",1,3,2,3,1,-1,-2,-2,3,2,"younger","1","0"
"58",8,"8",6,"Antisocial","chargers",1,3,2,3,2,-1,-1,-2,3,2,"younger","1","0"
"59",8,"8",8,"Prosocial","recycle",10,8,9,3,6,1,3,2,3,2,"younger","1","1"
"60",8,"8",10,"Prosocial","screentime",9,7,9,5,6,2,1,2,3,2,"younger","1","1"
"61",8,"8",11,"Antisocial","late",2,4,3,5,2,-1,-3,-2,3,2,"younger","1","0"
"62",9,"9",1,"Prosocial","lendMoney",8,6,9,2,6,3,4,2,6,1,"younger","1","1"
"63",9,"9",3,"Antisocial","shower",4,6,6,4,4,0,0,-2,6,1,"younger","1","0"
"64",9,"9",4,"Prosocial","screentime",8,6,9,2,5,3,3,2,6,1,"younger","1","1"
"65",9,"9",6,"Antisocial","heating",4,6,3,2,2,-3,0,-2,6,1,"younger","1","0"
"66",9,"9",8,"Prosocial","bike",8,6,9,4,4,3,0,2,6,1,"younger","1","1"
"67",9,"9",9,"Prosocial","queue",3,1,2,2,2,1,0,2,6,1,"younger","1","1"
"68",9,"9",10,"Antisocial","distance",9,11,11,7,7,0,0,-2,6,1,"younger","1","0"
"69",9,"9",11,"Antisocial","coughelbow",4,6,3,4,2,-3,-2,-2,6,1,"younger","1","0"
"70",10,"10",2,"Antisocial","download",4,6,1,2,1,-5,-1,-2,3,2,"younger","1","0"
"71",10,"10",3,"Antisocial","distance",3,5,5,3,3,0,0,-2,3,2,"younger","1","0"
"72",10,"10",4,"Antisocial","chargers",3,5,5,5,5,0,0,-2,3,2,"younger","1","0"
"73",10,"10",7,"Prosocial","lendMoney",9,7,10,2,4,3,2,2,3,2,"younger","1","1"
"74",10,"10",8,"Prosocial","seatBus",11,9,9,3,7,0,4,2,3,2,"younger","1","1"
"75",10,"10",9,"Prosocial","recycle",10,8,9,5,6,1,1,2,3,2,"younger","1","1"
"76",10,"10",10,"Prosocial","screentime",9,7,6,2,2,-1,0,2,3,2,"younger","1","1"
"77",10,"10",11,"Antisocial","shower",2,4,1,6,1,-3,-5,-2,3,2,"younger","1","0"
"78",11,"11",1,"Antisocial","distance",8,10,4,7,3,-6,-4,-2,5,2,"younger","1","0"
"79",11,"11",2,"Prosocial","seatBus",11,9,11,4,5,2,1,2,5,2,"younger","1","1"
